seed,state_idx,regime,sampler,K,temperature,new_modes_at_high_n,mean_pairwise_distance,effective_sample_diversity,duplicate_collapse_rate,trajectory_cluster_count,trajectory_cluster_entropy
1,0,id,ddim_eps,1,0.95,0.0,0.49042818961930074,1.5793124334404516,0.0,6.0,0.9607329284826589
1,0,id,clean_target_ablation,1,0.95,3.0,0.3048296304002471,1.6096973949947184,0.0,7.0,0.8369450311549423
1,0,id,consistency_1step,1,0.95,0.0,0.4763984112272921,1.5856434413907932,0.0,5.0,0.9487027337142536
1,0,id,ddim_eps,8,0.95,1.0,0.5445379944655979,1.5979323854276422,0.0,4.0,0.8744996115282551
1,0,id,clean_target_ablation,8,0.95,1.0,0.05158485333452529,1.612888872488109,0.0,5.0,0.8823679532537689
1,0,id,ddpm_eps,8,0.95,2.0,0.5485236652617992,1.5868078175328715,0.0,5.0,0.8274070571653431
1,0,low_diversity,ddim_eps,1,0.12,3.0,0.07188084457137256,1.6014310903598137,0.0,6.0,0.8038103185351639
1,0,low_diversity,clean_target_ablation,1,0.12,1.0,0.04717699981565982,1.6333528787675733,0.0,5.0,0.8207140722481314
1,0,low_diversity,consistency_1step,1,0.12,1.0,0.06028098715250722,1.5624651674610233,0.0,7.0,0.9269283983320256
1,0,low_diversity,ddim_eps,8,0.12,2.0,0.0587276260160782,1.6039430735664744,0.0,7.0,0.8992085220515633
1,0,low_diversity,clean_target_ablation,8,0.12,0.0,0.0070827579615166,1.5962093162071074,0.0,4.0,0.8820488277840726
1,0,low_diversity,ddpm_eps,8,0.12,2.0,0.05953023687436541,1.5997244761471037,0.0,7.0,0.8992085220515633
1,0,hidden_obstacle,ddim_eps,1,1.2,3.0,0.6051052052799039,1.5735176785847198,0.0,6.0,0.7915703579328502
1,0,hidden_obstacle,clean_target_ablation,1,1.2,2.0,0.37245169102738634,1.624621882626161,0.0,6.0,0.7737056144657345
1,0,hidden_obstacle,consistency_1step,1,1.2,1.0,0.6406815151014077,1.6069243037180028,0.0,5.0,0.6445680921278689
1,0,hidden_obstacle,ddim_eps,8,1.2,3.0,0.5969647711820085,1.6050208914749826,0.0,7.0,0.9459577203273825
1,0,hidden_obstacle,clean_target_ablation,8,1.2,2.0,0.06797155419506543,1.667974080653494,0.0,6.0,0.8038103185351642
1,0,hidden_obstacle,ddpm_eps,8,1.2,2.0,0.601187858024953,1.6061817652984425,0.0,5.0,0.8207140722481314
